TitleVideo,Link,View,Date,Thumb
CUỘC CHIẾN KHÔNG CÂN SỨC GIỮA Á QUÂN CKTG SOFM VÀ THẦY GIÁO BA - SỰ CỐ GẮNG CỦA ANH EM TAM KÊ | SOFM,https://www.youtube.com/watch?v=OUvyjoUTmyY,139 N lượt xem,11 tháng trước,https://i.ytimg.com/vi/OUvyjoUTmyY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAY1RYDxMm0QSNDAqpB92Y0uJVkZQ
DẠO NÀY ABA LÊN CLIP HƠI NHIỀU VÀ CÁI KẾT - CUỘC CHIẾN VÔ CỰC GIỮA HỘI TAM MAO VÀ TAM KÊ | SOFM,https://www.youtube.com/watch?v=wBfY35ZLQG4,102 N lượt xem,11 tháng trước,https://i.ytimg.com/vi/wBfY35ZLQG4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD98GDmYiX1vO9zEBn6RrYtVrE7TA
BÍ KÍP CHIẾN THẮNG VÕ ĐÀI 2V2V2V2 CỦA SOFM - KAISA CÓ THỰC SỰ QUÁ OP ? | SOFM DAILY STREAM,https://www.youtube.com/watch?v=b3ybj9F_vQ8,104 N lượt xem,11 tháng trước,https://i.ytimg.com/vi/b3ybj9F_vQ8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBfX9laZeW-G7nzs4XH8YLvoodOww
SOFM ĐẠI CHIẾN SOLO CÙNG NHISM AKA TRẦN THÁI YEAH VÀ CÁI KẾT | SOFM DAILY STREAM,https://www.youtube.com/watch?v=Y3P1AI7WEJc,120 N lượt xem,11 tháng trước,https://i.ytimg.com/vi/Y3P1AI7WEJc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBW0KW1A5ZUu3qw94WiHbVuTeplRA
KÈO TOP CỰC KÌ PK VỚI THẦY GIÁO BA - HỖN CHIẾN VỚI HỘI TAM KÊ | SOFM DAILY STREAM,https://www.youtube.com/watch?v=AeyzxrHsKfY,112 N lượt xem,11 tháng trước,https://i.ytimg.com/vi/AeyzxrHsKfY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDJocI4ZvE2-mPgGQp_iCsew7lZ-Q
SOFM + BIỆT ĐỘI TAM MAO vs HỘI TAM KÊ - CUSTOM ƯƠM MẦM TÀI NĂNG TRẺ | SOFM DAILY STREAM,https://www.youtube.com/watch?v=nvul6x6ro4k,80 N lượt xem,1 năm trước,https://i.ytimg.com/vi/nvul6x6ro4k/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAFKLiBXrfuCij7KSipeRh5WvpS3A
SONG SÁT HUỶ DIỆT CHẾ ĐỘ VÕ ĐÀI 2V2V2V2 - SOFM x BOONGMINZ | SOFM FUNNY DAILY,https://www.youtube.com/watch?v=XOkDcymcw6Y,120 N lượt xem,1 năm trước,https://i.ytimg.com/vi/XOkDcymcw6Y/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDbzzeL4PUgvv2YLTT9X6y-_oj1rQ
PHÂN TÍCH VCS TRẬN CẦU TÂM ĐIỂM - TW VS GAM - SẤY CẢ VCS CÙNG SOFM | SOFM PHÂN TÍCH,https://www.youtube.com/watch?v=V8Q5lXn3fOo,69 N lượt xem,1 năm trước,https://i.ytimg.com/vi/V8Q5lXn3fOo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC3-9sILt7O0ISFN2im_erdbLQZcA
"AI ""THƯƠNG"" MỚI SẤY -  SOFM PHÂN TÍCH VCS MÙA HÈ 2023 - TEAM SECRET VS CERBERUS | SOFM PHÂN TÍCH",https://www.youtube.com/watch?v=W3oeyCCVIFE,55 N lượt xem,1 năm trước,https://i.ytimg.com/vi/W3oeyCCVIFE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBSTOwsr5AXw41gONWo0zU_wIeeHw
MÀN LỘI NGƯỢC DÒNG KHÔNG TƯỞNG  -  BUỔI STREAM BẤT ỔN CỦA SOFM | SOFM DAILY STREAM,https://www.youtube.com/watch?v=bz5sXnmv6XY,62 N lượt xem,1 năm trước,https://i.ytimg.com/vi/bz5sXnmv6XY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAWoRrXif_tnvv7-uiqUa53i_Od8g
SOFM PHÂN TÍCH SGB vs GAM - VCS MÙA HÈ 2023 | SOFM PHÂN TÍCH VCS,https://www.youtube.com/watch?v=n8WRxcPSfcM,121 N lượt xem,1 năm trước,https://i.ytimg.com/vi/n8WRxcPSfcM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBLwJmwXHHQ6A9--wvxu1nedR3z0Q
KAISA NÊN LÊN ĐỒ NHƯ THẾ NÀO ? - SOFM KAISA MID QUÁ BÁ ĐẠO | SOFM DAILY STREAM,https://www.youtube.com/watch?v=lktEMBf5k_0,92 N lượt xem,1 năm trước,https://i.ytimg.com/vi/lktEMBf5k_0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDOXJ9v7zRTQIsKrdhdX-lfuDvLMw
SOFM FIORA - GIÁO ÁN ĐI TOP VỚI KÈO CỰC KÌ PK | SOFM DAILY STREAM,https://www.youtube.com/watch?v=znCtHLI-WP8,113 N lượt xem,1 năm trước,https://i.ytimg.com/vi/znCtHLI-WP8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAB8nLIaSi-iCAW-gs0YQYCipD3_Q
"NGƯỜI CHƠI HỆ ""QUẢ DÉO"" SOFM - QUẨY SYLAS HẾT NƯỚC CHẤM | SOFM DAILY STREAM",https://www.youtube.com/watch?v=VGq7Lw1yjqU,113 N lượt xem,1 năm trước,https://i.ytimg.com/vi/VGq7Lw1yjqU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAl6qSLUG6hdG9CdqtGgwEwUaXePg
CÁCH ĐỂ TRỞ THÀNH GAME THỦ CHUYÊN NGHIỆP Ở VCS ? - SOFM HÒA LÀM 1 VỚI TEDDY BEAR | SOFM DAILY STREAM,https://www.youtube.com/watch?v=ZHo4c2QDaVU,74 N lượt xem,1 năm trước,https://i.ytimg.com/vi/ZHo4c2QDaVU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCT5iWbcaer0KcrCqhxnIOTdZVYYQ
VEIGAR PHIÊN BẢN CHILL CHILL ĐẾN TỪ SOFM - DỄ CHƠI DỄ TRÚNG THƯỞNG | SOFM DAILY STREAM,https://www.youtube.com/watch?v=debm_6zaKAs,75 N lượt xem,1 năm trước,https://i.ytimg.com/vi/debm_6zaKAs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC0Hi41_5eSPDjhlTrkOHRtjzWdcg
